hour,avg_delay
0,1.9326762402088773
1,1.506937984496124
2,1.3532484076433122
3,1.5768060836501903
4,2.880561038961039
5,2.819375727590224
6,2.9871366070755045
7,5.963028399424166
8,6.00727687798278
9,5.98825888913905
10,2.9730497993553087
11,3.0012716368655683
12,2.9686123684949868
13,2.991220572687881
14,3.032507947665229
15,3.0934531713518902
16,6.056272239432565
17,5.9261079684730555
18,6.02604131562247
19,2.9671280532938593
20,2.91798384781048
21,3.009734739815512
22,2.92384769451822
23,3.0374725490196073
